,Run ID,Date,Time,Model Name,Model Author,Num Classes,Accuracy,Balanced Accuracy,AUC Score,Average Precision,F1 Score,Precision,Recall,Samples In Train,Samples In Test,Model Description,Column Predicted,Num Features Used,Data and Split Description,Normalized,Num Features Normalized,Feature Extraction,Was Untested Data Predicted,run,stain,num_dead,num_live,size
125,6eGOpYAzyzYO,2019-07-23,20:25:49,random_forest_classification,Hamed,2,0.975,0.975,0.995,0.9940000000000001,0.976,0.965,0.986,48000,12000,"Random Forest: n_estimators=361, max_features=auto, criterion=entropy, min_samples_leaf=13, n_jobs=-1",class_label,9,r1ce3phrwnkqt_r1ceb8fj2hj9a_no_stain,True,9,False,True,r1ce3phrwnkqt_r1ceb8fj2hj9a,False,30000.0,30000.0,368.88794541139356
126,ENgDBlGrZx2WP,2019-07-23,17:52:00,random_forest_classification,Hamed,2,0.976,0.976,0.996,0.995,0.977,0.9640000000000001,0.9890000000000001,48000,12000,"Random Forest: n_estimators=361, max_features=auto, criterion=entropy, min_samples_leaf=13, n_jobs=-1",class_label,12,r1c9tpmcezpk2_r1c9wjnedp92f_stain,True,12,False,True,r1c9tpmcezpk2_r1c9wjnedp92f,True,30000.0,30000.0,372.9701448634191
127,5aqlwrk83lx5,2019-07-23,20:25:49,random_forest_classification,Hamed,2,0.971,0.971,0.992,0.99,0.972,0.9540000000000001,0.99,48000,12000,"Random Forest: n_estimators=361, max_features=auto, criterion=entropy, min_samples_leaf=13, n_jobs=-1",class_label,9,r1c9tpmcezpk2_r1c9wjnedp92f_no_stain,True,9,False,True,r1c9tpmcezpk2_r1c9wjnedp92f,False,30000.0,30000.0,354.0459448995662
128,Eak2EyWVq9M9x,2019-07-23,17:53:49,random_forest_classification,Hamed,2,0.988,0.988,0.998,0.996,0.988,0.9790000000000001,0.996,48000,12000,"Random Forest: n_estimators=361, max_features=auto, criterion=entropy, min_samples_leaf=13, n_jobs=-1",class_label,12,r1cfkpsmdkgjb_r1cfqbcwrk6vu_stain,True,12,False,True,r1cfkpsmdkgjb_r1cfqbcwrk6vu,True,30000.0,30000.0,442.2848629194136
129,66orG5Q77p6wO,2019-07-23,20:27:05,random_forest_classification,Hamed,2,0.988,0.988,0.998,0.997,0.988,0.98,0.996,48000,12000,"Random Forest: n_estimators=361, max_features=auto, criterion=entropy, min_samples_leaf=13, n_jobs=-1",class_label,9,r1cfkpsmdkgjb_r1cfqbcwrk6vu_no_stain,True,9,False,True,r1cfkpsmdkgjb_r1cfqbcwrk6vu,False,30000.0,30000.0,442.2848629194136
130,6dQExV5rbaob3,2019-07-23,17:54:44,random_forest_classification,Hamed,2,0.995,0.995,1.0,0.9990000000000001,0.995,0.991,0.998,44501,11126,"Random Forest: n_estimators=361, max_features=auto, criterion=entropy, min_samples_leaf=13, n_jobs=-1",class_label,12,r1d6r8p5ddgsut_r1d8fgr2efzrhj_stain,True,12,False,True,r1d6r8p5ddgsut_r1d8fgr2efzrhj,True,30000.0,25627.0,529.8317366548035
131,aX3aEvQLEqlRo,2019-07-23,17:54:54,random_forest_classification,Hamed,2,0.982,0.982,0.998,0.998,0.982,0.978,0.985,48000,12000,"Random Forest: n_estimators=361, max_features=auto, criterion=entropy, min_samples_leaf=13, n_jobs=-1",class_label,12,r1ce3p63vnpzq_r1cee5f7knupg_stain,True,12,False,True,r1ce3p63vnpzq_r1cee5f7knupg,True,30000.0,30000.0,401.73835210859716
132,aMLr3LNa52doo,2019-07-23,20:27:16,random_forest_classification,Hamed,2,0.97,0.97,0.9940000000000001,0.992,0.971,0.9590000000000001,0.983,48000,12000,"Random Forest: n_estimators=361, max_features=auto, criterion=entropy, min_samples_leaf=13, n_jobs=-1",class_label,9,r1ce3p63vnpzq_r1cee5f7knupg_no_stain,True,9,False,True,r1ce3p63vnpzq_r1cee5f7knupg,False,30000.0,30000.0,350.6557897319981
133,6qEmZbwVpdMxN,2019-07-23,17:57:36,random_forest_classification,Hamed,2,0.991,0.991,0.9990000000000001,0.9990000000000001,0.991,0.993,0.9890000000000001,48000,12000,"Random Forest: n_estimators=361, max_features=auto, criterion=entropy, min_samples_leaf=13, n_jobs=-1",class_label,12,r1ch7zwzznes3_r1cheagmxcqvt_stain,True,12,False,True,r1ch7zwzznes3_r1cheagmxcqvt,True,30000.0,30000.0,471.0530701645917
134,Evy7XyJErN1QY,2019-07-23,20:27:34,random_forest_classification,Hamed,2,0.976,0.976,0.993,0.991,0.976,0.965,0.988,48000,12000,"Random Forest: n_estimators=361, max_features=auto, criterion=entropy, min_samples_leaf=13, n_jobs=-1",class_label,9,r1ch7zwzznes3_r1cheagmxcqvt_no_stain,True,9,False,True,r1ch7zwzznes3_r1cheagmxcqvt,False,30000.0,30000.0,372.9701448634191
